bulan,tahun,kode_trayek,trayek,jumlah_penumpang,jenis
Mei ,2019,1P,SENEN - BUNDERAN SENAYAN,30.716,ANGKUTAN UMUM INTEGRASI
Juni,2019,1P,SENEN - BUNDERAN SENAYAN,30.685,ANGKUTAN UMUM INTEGRASI
Juli,2019,1P,SENEN - BUNDERAN SENAYAN,38.412,ANGKUTAN UMUM INTEGRASI
Agustus,2019,1P,SENEN - BUNDERAN SENAYAN,35.003,ANGKUTAN UMUM INTEGRASI
September,2019,1P,SENEN - BUNDERAN SENAYAN,33.4,ANGKUTAN UMUM INTEGRASI
Oktober,2019,1P,SENEN - BUNDERAN SENAYAN,33.4,ANGKUTAN UMUM INTEGRASI
November,2019,1P,SENEN - BUNDERAN SENAYAN,33.18,ANGKUTAN UMUM INTEGRASI
Desember,2019,1P,SENEN - BUNDERAN SENAYAN,"27,335",ANGKUTAN UMUM INTEGRASI
Mei ,2019,1Q,REMPOA - BLOK M,48.864,ANGKUTAN UMUM INTEGRASI
Juni,2019,1Q,REMPOA - BLOK M,46.127,ANGKUTAN UMUM INTEGRASI
Juli,2019,1Q,REMPOA - BLOK M,64.279,ANGKUTAN UMUM INTEGRASI
Agustus,2019,1Q,REMPOA - BLOK M,65.226,ANGKUTAN UMUM INTEGRASI
September,2019,1Q,REMPOA - BLOK M,69.975,ANGKUTAN UMUM INTEGRASI
Oktober,2019,1Q,REMPOA - BLOK M,69.975,ANGKUTAN UMUM INTEGRASI
November,2019,1Q,REMPOA - BLOK M,75.201,ANGKUTAN UMUM INTEGRASI
Desember,2019,1Q,REMPOA - BLOK M,"68,681",ANGKUTAN UMUM INTEGRASI
Februari,2019,1R,SENEN - TANAH ABANG,12.95,ANGKUTAN UMUM INTEGRASI
Maret,2019,1R,SENEN - TANAH ABANG,25138,ANGKUTAN UMUM INTEGRASI
April,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,30444,ANGKUTAN UMUM INTEGRASI
Mei ,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,39.866,ANGKUTAN UMUM INTEGRASI
Juni,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,39.563,ANGKUTAN UMUM INTEGRASI
Juli,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46.41,ANGKUTAN UMUM INTEGRASI
Agustus,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,47.665,ANGKUTAN UMUM INTEGRASI
September,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46.481,ANGKUTAN UMUM INTEGRASI
Oktober,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,46.481,ANGKUTAN UMUM INTEGRASI
November,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,49.786,ANGKUTAN UMUM INTEGRASI
Desember,2019,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,"48,14",ANGKUTAN UMUM INTEGRASI
Januari,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2933,ANGKUTAN UMUM INTEGRASI
Februari,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2309,ANGKUTAN UMUM INTEGRASI
Maret,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2518,ANGKUTAN UMUM INTEGRASI
April,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2096,ANGKUTAN UMUM INTEGRASI
Mei ,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.155,ANGKUTAN UMUM INTEGRASI
Juni,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,3.332,ANGKUTAN UMUM INTEGRASI
Juli,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.847,ANGKUTAN UMUM INTEGRASI
Agustus,2019,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.755,ANGKUTAN UMUM INTEGRASI
September,2019,2K,JGC - HARAPAN INDAH,2.591,ANGKUTAN UMUM INTEGRASI
Oktober,2019,2K,JGC - HARAPAN INDAH,2.591,ANGKUTAN UMUM INTEGRASI
November,2019,2K,JGC - HARAPAN INDAH,2.725,ANGKUTAN UMUM INTEGRASI
Desember,2019,2K,JGC - HARAPAN INDAH,0,ANGKUTAN UMUM INTEGRASI
Januari,2019,3D,PENJARINGAN - RAWA BUAYA,30808,ANGKUTAN UMUM INTEGRASI
Februari,2019,3D,PENJARINGAN - RAWA BUAYA,26559,ANGKUTAN UMUM INTEGRASI
Maret,2019,3D,PENJARINGAN - RAWA BUAYA,34676,ANGKUTAN UMUM INTEGRASI
April,2019,3D,PENJARINGAN - RAWA BUAYA,33363,ANGKUTAN UMUM INTEGRASI
Mei ,2019,3D,PENJARINGAN - RAWA BUAYA,32.759,ANGKUTAN UMUM INTEGRASI
Juni,2019,3D,PENJARINGAN - RAWA BUAYA,25.338,ANGKUTAN UMUM INTEGRASI
Juli,2019,3D,PENJARINGAN - RAWA BUAYA,35.973,ANGKUTAN UMUM INTEGRASI
Agustus,2019,3D,PENJARINGAN - RAWA BUAYA,37.434,ANGKUTAN UMUM INTEGRASI
September,2019,3D,PENJARINGAN - RAWA BUAYA,38.584,ANGKUTAN UMUM INTEGRASI
Oktober,2019,3D,PENJARINGAN - RAWA BUAYA,38.584,ANGKUTAN UMUM INTEGRASI
November,2019,3D,PENJARINGAN - RAWA BUAYA,44.021,ANGKUTAN UMUM INTEGRASI
Desember,2019,3D,PENJARINGAN - RAWA BUAYA,"41,582",ANGKUTAN UMUM INTEGRASI
Januari,2019,3E,CENTRAL LAND - PURI KEMBANGAN,20084,ANGKUTAN UMUM INTEGRASI
Februari,2019,3E,CENTRAL LAND - PURI KEMBANGAN,20852,ANGKUTAN UMUM INTEGRASI
Maret,2019,3E,CENTRAL LAND - PURI KEMBANGAN,26632,ANGKUTAN UMUM INTEGRASI
April,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,28725,ANGKUTAN UMUM INTEGRASI
Mei ,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,30.582,ANGKUTAN UMUM INTEGRASI
Juni,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,30.854,ANGKUTAN UMUM INTEGRASI
Juli,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,41.297,ANGKUTAN UMUM INTEGRASI
Agustus,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,44.635,ANGKUTAN UMUM INTEGRASI
September,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,49.745,ANGKUTAN UMUM INTEGRASI
Oktober,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,49.745,ANGKUTAN UMUM INTEGRASI
November,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,55.74,ANGKUTAN UMUM INTEGRASI
Desember,2019,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,"59,28",ANGKUTAN UMUM INTEGRASI
Januari,2019,4A,TU GAS - GROGOL 2,21583,ANGKUTAN UMUM INTEGRASI
Februari,2019,4A,TU GAS - GROGOL 2,19437,ANGKUTAN UMUM INTEGRASI
Maret,2019,4A,TU GAS - GROGOL 2,21966,ANGKUTAN UMUM INTEGRASI
April,2019,4A,TU GAS - GROGOL 2,22079,ANGKUTAN UMUM INTEGRASI
Mei ,2019,4A,TU GAS - GROGOL 2,22.846,ANGKUTAN UMUM INTEGRASI
Juni,2019,4A,TU GAS - GROGOL 2,19.551,ANGKUTAN UMUM INTEGRASI
Juli,2019,4A,TU GAS - GROGOL 2,25.539,ANGKUTAN UMUM INTEGRASI
Agustus,2019,4A,TU GAS - GROGOL 2,25.174,ANGKUTAN UMUM INTEGRASI
September,2019,4A,TU GAS - GROGOL 2,23.401,ANGKUTAN UMUM INTEGRASI
Oktober,2019,4A,TU GAS - GROGOL 2,23.401,ANGKUTAN UMUM INTEGRASI
November,2019,4A,TU GAS - GROGOL 2,26.681,ANGKUTAN UMUM INTEGRASI
Desember,2019,4A,TU GAS - GROGOL 2,"28,977",ANGKUTAN UMUM INTEGRASI
Januari,2019,4B,ST. MANGGARAI - UI,190476,ANGKUTAN UMUM INTEGRASI
Februari,2019,4B,ST. MANGGARAI - UI,167948,ANGKUTAN UMUM INTEGRASI
Maret,2019,4B,ST. MANGGARAI - UI,188003,ANGKUTAN UMUM INTEGRASI
April,2019,4B,STASIUN MANGGARAI - UI,180099,ANGKUTAN UMUM INTEGRASI
Mei ,2019,4B,STASIUN MANGGARAI - UI,183.517,ANGKUTAN UMUM INTEGRASI
Juni,2019,4B,STASIUN MANGGARAI - UI,160.441,ANGKUTAN UMUM INTEGRASI
Juli,2019,4B,STASIUN MANGGARAI - UI,206.317,ANGKUTAN UMUM INTEGRASI
Agustus,2019,4B,STASIUN MANGGARAI - UI,211.915,ANGKUTAN UMUM INTEGRASI
September,2019,4B,STASIUN MANGGARAI - UI,215.939,ANGKUTAN UMUM INTEGRASI
Oktober,2019,4B,STASIUN MANGGARAI - UI,215.939,ANGKUTAN UMUM INTEGRASI
November,2019,4B,STASIUN MANGGARAI - UI,233.339,ANGKUTAN UMUM INTEGRASI
Desember,2019,4B,STASIUN MANGGARAI - UI,"198,762",ANGKUTAN UMUM INTEGRASI
Januari,2019,4C,TU GAS - BUNDERAN SENAYAN,15118,ANGKUTAN UMUM INTEGRASI
Februari,2019,4C,TU GAS - BUNDERAN SENAYAN,13431,ANGKUTAN UMUM INTEGRASI
Maret,2019,4C,TU GAS - BUNDERAN SENAYAN,15454,ANGKUTAN UMUM INTEGRASI
April,2019,4C,TU GAS - BUNDERAN SENAYAN,14927,ANGKUTAN UMUM INTEGRASI
Mei ,2019,4C,TU GAS - BUNDERAN SENAYAN,14.296,ANGKUTAN UMUM INTEGRASI
Juni,2019,4C,TU GAS - BUNDERAN SENAYAN,10.476,ANGKUTAN UMUM INTEGRASI
Juli,2019,4C,TU GAS - BUNDERAN SENAYAN,16.322,ANGKUTAN UMUM INTEGRASI
Agustus,2019,4C,TU GAS - BUNDERAN SENAYAN,16.555,ANGKUTAN UMUM INTEGRASI
September,2019,4C,TU GAS - BUNDERAN SENAYAN,16.531,ANGKUTAN UMUM INTEGRASI
Oktober,2019,4C,TU GAS - BUNDERAN SENAYAN,16.531,ANGKUTAN UMUM INTEGRASI
November,2019,4C,TU GAS - BUNDERAN SENAYAN,18.961,ANGKUTAN UMUM INTEGRASI
Desember,2019,4C,TU GAS - BUNDERAN SENAYAN,"5,524",ANGKUTAN UMUM INTEGRASI
Januari,2019,4F,PULO GADUNG - PONDOK GEDE,115361,ANGKUTAN UMUM INTEGRASI
Februari,2019,4F,PULO GADUNG - PONDOK GEDE,105442,ANGKUTAN UMUM INTEGRASI
Maret,2019,4F,PULO GADUNG - PONDOK GEDE,120788,ANGKUTAN UMUM INTEGRASI
April,2019,4F,PONDOK GEDE - PULOGADUNG 2,126685,ANGKUTAN UMUM INTEGRASI
Mei ,2019,4F,PONDOK GEDE - PULOGADUNG 2,128.726,ANGKUTAN UMUM INTEGRASI
Juni,2019,4F,PONDOK GEDE - PULOGADUNG 2,122.945,ANGKUTAN UMUM INTEGRASI
Juli,2019,4F,PONDOK GEDE - PULOGADUNG 2,136.812,ANGKUTAN UMUM INTEGRASI
Agustus,2019,4F,PONDOK GEDE - PULOGADUNG 2,130.694,ANGKUTAN UMUM INTEGRASI
September,2019,4F,PONDOK GEDE - PULOGADUNG 2,137.865,ANGKUTAN UMUM INTEGRASI
Oktober,2019,4F,PONDOK GEDE - PULOGADUNG 2,137.865,ANGKUTAN UMUM INTEGRASI
November,2019,4F,PONDOK GEDE - PULOGADUNG 2,148.223,ANGKUTAN UMUM INTEGRASI
Desember,2019,4F,PONDOK GEDE - PULOGADUNG 2,"139,702",ANGKUTAN UMUM INTEGRASI
Januari,2019,5A,KAMPUNG MELAYU - GROGOL 1,36993,ANGKUTAN UMUM INTEGRASI
Februari,2019,5A,KAMPUNG MELAYU - GROGOL 1,33443,ANGKUTAN UMUM INTEGRASI
Maret,2019,5A,KAMPUNG MELAYU - GROGOL 1,37074,ANGKUTAN UMUM INTEGRASI
April,2019,5A,KAMPUNG MELAYU - GROGOL 1,30855,ANGKUTAN UMUM INTEGRASI
Mei ,2019,5A,KAMPUNG MELAYU - GROGOL 1,24.712,ANGKUTAN UMUM INTEGRASI
Juli,2019,5A,KAMPUNG MELAYU - GROGOL 1,35.578,ANGKUTAN UMUM INTEGRASI
Agustus,2019,5A,KAMPUNG MELAYU - GROGOL 1,37.15,ANGKUTAN UMUM INTEGRASI
September,2019,5A,KAMPUNG MELAYU - GROGOL 1,38.143,ANGKUTAN UMUM INTEGRASI
Oktober,2019,5A,KAMPUNG MELAYU - GROGOL 1,38.143,ANGKUTAN UMUM INTEGRASI
November,2019,5A,KAMPUNG MELAYU - GROGOL 1,43.569,ANGKUTAN UMUM INTEGRASI
Desember,2019,5A,KAMPUNG MELAYU - GROGOL 1,"39,027",ANGKUTAN UMUM INTEGRASI
Januari,2019,5B,ST. TEBET - BIDARA CINA,38.84,ANGKUTAN UMUM INTEGRASI
Februari,2019,5B,ST. TEBET - BIDARA CINA,32963,ANGKUTAN UMUM INTEGRASI
Maret,2019,5B,ST. TEBET - BIDARA CINA,38971,ANGKUTAN UMUM INTEGRASI
April,2019,5B,STASIUN TEBET - BIDARA CINA,38476,ANGKUTAN UMUM INTEGRASI
Mei ,2019,5B,STASIUN TEBET - BIDARA CINA,40.172,ANGKUTAN UMUM INTEGRASI
Juli,2019,5B,STASIUN TEBET - BIDARA CINA,44.957,ANGKUTAN UMUM INTEGRASI
Agustus,2019,5B,STASIUN TEBET - BIDARA CINA,43.88,ANGKUTAN UMUM INTEGRASI
September,2019,5B,STASIUN TEBET - BIDARA CINA,43.094,ANGKUTAN UMUM INTEGRASI
Oktober,2019,5B,STASIUN TEBET - BIDARA CINA,43.094,ANGKUTAN UMUM INTEGRASI
November,2019,5B,STASIUN TEBET - BIDARA CINA,46.078,ANGKUTAN UMUM INTEGRASI
Desember,2019,5B,STASIUN TEBET - BIDARA CINA,"40,329",ANGKUTAN UMUM INTEGRASI
Januari,2019,5F,KAMPUNG MELAYU - TANAH ABANG,51805,ANGKUTAN UMUM INTEGRASI
Februari,2019,5F,KAMPUNG MELAYU - TANAH ABANG,48798,ANGKUTAN UMUM INTEGRASI
Maret,2019,5F,KAMPUNG MELAYU - TANAH ABANG,56679,ANGKUTAN UMUM INTEGRASI
April,2019,5F,KAMPUNG MELAYU - TANAH ABANG,62045,ANGKUTAN UMUM INTEGRASI
Mei ,2019,5F,KAMPUNG MELAYU - TANAH ABANG,60.639,ANGKUTAN UMUM INTEGRASI
Juli,2019,5F,KAMPUNG MELAYU - TANAH ABANG,62.271,ANGKUTAN UMUM INTEGRASI
Agustus,2019,5F,KAMPUNG MELAYU - TANAH ABANG,59.768,ANGKUTAN UMUM INTEGRASI
September,2019,5F,KAMPUNG MELAYU - TANAH ABANG,56.973,ANGKUTAN UMUM INTEGRASI
Oktober,2019,5F,KAMPUNG MELAYU - TANAH ABANG,56.973,ANGKUTAN UMUM INTEGRASI
November,2019,5F,KAMPUNG MELAYU - TANAH ABANG,63.638,ANGKUTAN UMUM INTEGRASI
Desember,2019,5F,KAMPUNG MELAYU - TANAH ABANG,"69,542",ANGKUTAN UMUM INTEGRASI
November,2019,5M,KAMPUNG MELAYU - TANAH ABANG VIA CIKINI,0,ANGKUTAN UMUM INTEGRASI
Desember,2019,5M,KAMPUNG MELAYU - TANAH ABANG VIA CIKINI,"74,993",ANGKUTAN UMUM INTEGRASI
Desember,2019,5N,KAMPUNG MELAYU - RAGUNAN,"20,836",ANGKUTAN UMUM INTEGRASI
Januari,2019,6C,ST. TEBET - KARET,253604,ANGKUTAN UMUM INTEGRASI
Februari,2019,6C,ST. TEBET - KARET,222987,ANGKUTAN UMUM INTEGRASI
Maret,2019,6C,ST. TEBET - KARET,254441,ANGKUTAN UMUM INTEGRASI
April,2019,6C,STASIUN TEBET - KARET,251666,ANGKUTAN UMUM INTEGRASI
Mei ,2019,6C,STASIUN TEBET - KARET,260.161,ANGKUTAN UMUM INTEGRASI
Juli,2019,6C,STASIUN TEBET - KARET,246.768,ANGKUTAN UMUM INTEGRASI
Agustus,2019,6C,STASIUN TEBET - KARET,244.073,ANGKUTAN UMUM INTEGRASI
September,2019,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,238.58,ANGKUTAN UMUM INTEGRASI
Oktober,2019,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,238.58,ANGKUTAN UMUM INTEGRASI
November,2019,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,273.019,ANGKUTAN UMUM INTEGRASI
Desember,2019,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,"226,161",ANGKUTAN UMUM INTEGRASI
Januari,2019,6H,LEBAK BULUS - SENEN,117637,ANGKUTAN UMUM INTEGRASI
Februari,2019,6H,LEBAK BULUS - SENEN,113978,ANGKUTAN UMUM INTEGRASI
Maret,2019,6H,LEBAK BULUS - SENEN,127312,ANGKUTAN UMUM INTEGRASI
April,2019,6H,LEBAK BULUS - STASIUN SENEN,118439,ANGKUTAN UMUM INTEGRASI
Mei ,2019,6H,LEBAK BULUS - STASIUN SENEN,118.685,ANGKUTAN UMUM INTEGRASI
Juli,2019,6H,LEBAK BULUS - STASIUN SENEN,128.456,ANGKUTAN UMUM INTEGRASI
Agustus,2019,6H,LEBAK BULUS - STASIUN SENEN,118.313,ANGKUTAN UMUM INTEGRASI
September,2019,6H,LEBAK BULUS - STASIUN SENEN,110.438,ANGKUTAN UMUM INTEGRASI
Oktober,2019,6H,LEBAK BULUS - STASIUN SENEN,110.438,ANGKUTAN UMUM INTEGRASI
November,2019,6H,LEBAK BULUS - STASIUN SENEN,114.833,ANGKUTAN UMUM INTEGRASI
Desember,2019,6H,LEBAK BULUS - STASIUN SENEN,"111,506",ANGKUTAN UMUM INTEGRASI
Januari,2019,6M,ST. MANGGARAI - BLOK M,85123,ANGKUTAN UMUM INTEGRASI
Februari,2019,6M,ST. MANGGARAI - BLOK M,72458,ANGKUTAN UMUM INTEGRASI
Maret,2019,6M,ST. MANGGARAI - BLOK M,83123,ANGKUTAN UMUM INTEGRASI
April,2019,6M,BLOK M - STASIUN MANGGARAI,80.07,ANGKUTAN UMUM INTEGRASI
Mei ,2019,6M,BLOK M - STASIUN MANGGARAI,84.05,ANGKUTAN UMUM INTEGRASI
Juli,2019,6M,BLOK M - STASIUN MANGGARAI,85.803,ANGKUTAN UMUM INTEGRASI
Agustus,2019,6M,BLOK M - STASIUN MANGGARAI,78.099,ANGKUTAN UMUM INTEGRASI
September,2019,6M,BLOK M - STASIUN MANGGARAI,83.176,ANGKUTAN UMUM INTEGRASI
Oktober,2019,6M,BLOK M - STASIUN MANGGARAI,83.176,ANGKUTAN UMUM INTEGRASI
November,2019,6M,BLOK M - STASIUN MANGGARAI,88.182,ANGKUTAN UMUM INTEGRASI
Desember,2019,6M,BLOK M - STASIUN MANGGARAI,"78,075",ANGKUTAN UMUM INTEGRASI
Januari,2019,6N,BLOK M - RAGUNAN VIA KEMANG,85214,ANGKUTAN UMUM INTEGRASI
Februari,2019,6N,BLOK M - RAGUNAN VIA KEMANG,77974,ANGKUTAN UMUM INTEGRASI
Maret,2019,6N,BLOK M - RAGUNAN VIA KEMANG,88164,ANGKUTAN UMUM INTEGRASI
April,2019,6N,RAGUNAN - BLOK M VIA KEMANG,87.38,ANGKUTAN UMUM INTEGRASI
Mei ,2019,6N,RAGUNAN - BLOK M VIA KEMANG,89.16,ANGKUTAN UMUM INTEGRASI
Juli,2019,6N,RAGUNAN - BLOK M VIA KEMANG,109.575,ANGKUTAN UMUM INTEGRASI
Agustus,2019,6N,RAGUNAN - BLOK M VIA KEMANG,102.954,ANGKUTAN UMUM INTEGRASI
September,2019,6N,RAGUNAN - BLOK M VIA KEMANG,105.674,ANGKUTAN UMUM INTEGRASI
Oktober,2019,6N,RAGUNAN - BLOK M VIA KEMANG,105.674,ANGKUTAN UMUM INTEGRASI
November,2019,6N,RAGUNAN - BLOK M VIA KEMANG,113.396,ANGKUTAN UMUM INTEGRASI
Desember,2019,6N,RAGUNAN - BLOK M VIA KEMANG,"81,39",ANGKUTAN UMUM INTEGRASI
April,2019,6Q,EPICENTRUM - CASABLANCA,11004,ANGKUTAN UMUM INTEGRASI
Mei ,2019,6Q,EPICENTRUM - CASABLANCA,11.377,ANGKUTAN UMUM INTEGRASI
Juli,2019,6Q,EPICENTRUM - CASABLANCA,11.293,ANGKUTAN UMUM INTEGRASI
Agustus,2019,6Q,EPICENTRUM - CASABLANCA,12.894,ANGKUTAN UMUM INTEGRASI
September,2019,6Q,EPICENTRUM - CASABLANCA,13.357,ANGKUTAN UMUM INTEGRASI
Oktober,2019,6Q,EPICENTRUM - CASABLANCA,13.357,ANGKUTAN UMUM INTEGRASI
November,2019,6Q,EPICENTRUM - CASABLANCA,14.775,ANGKUTAN UMUM INTEGRASI
Desember,2019,6Q,EPICENTRUM - CASABLANCA,"13,143",ANGKUTAN UMUM INTEGRASI
November,2019,6R,RAGUNAN - FATMAWATI,0,ANGKUTAN UMUM INTEGRASI
Desember,2019,6R,RAGUNAN - FATMAWATI,"16,62",ANGKUTAN UMUM INTEGRASI
Januari,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,101146,ANGKUTAN UMUM INTEGRASI
Februari,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,94725,ANGKUTAN UMUM INTEGRASI
Maret,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105416,ANGKUTAN UMUM INTEGRASI
April,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,92905,ANGKUTAN UMUM INTEGRASI
Mei ,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,94.74,ANGKUTAN UMUM INTEGRASI
Juli,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105.785,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,105.083,ANGKUTAN UMUM INTEGRASI
September,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,109.33,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,109.33,ANGKUTAN UMUM INTEGRASI
November,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,114.256,ANGKUTAN UMUM INTEGRASI
Desember,2019,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,"101,299",ANGKUTAN UMUM INTEGRASI
Januari,2019,7B,BLOK M - KAMPUNG RAMBUTAN,58589,ANGKUTAN UMUM INTEGRASI
Februari,2019,7B,BLOK M - KAMPUNG RAMBUTAN,54613,ANGKUTAN UMUM INTEGRASI
Maret,2019,7B,BLOK M - KAMPUNG RAMBUTAN,65413,ANGKUTAN UMUM INTEGRASI
April,2019,7B,KAMPUNG RAMBUTAN - BLOK M,72716,ANGKUTAN UMUM INTEGRASI
Mei ,2019,7B,KAMPUNG RAMBUTAN - BLOK M,81.28,ANGKUTAN UMUM INTEGRASI
Juli,2019,7B,KAMPUNG RAMBUTAN - BLOK M,112.711,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7B,KAMPUNG RAMBUTAN - BLOK M,106.917,ANGKUTAN UMUM INTEGRASI
September,2019,7B,KAMPUNG RAMBUTAN - BLOK M,109.248,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7B,KAMPUNG RAMBUTAN - BLOK M,109.248,ANGKUTAN UMUM INTEGRASI
November,2019,7B,KAMPUNG RAMBUTAN - BLOK M,120.148,ANGKUTAN UMUM INTEGRASI
Desember,2019,7B,KAMPUNG RAMBUTAN - BLOK M,"112,005",ANGKUTAN UMUM INTEGRASI
Januari,2019,7D,CAWANG UKI - TMII,59773,ANGKUTAN UMUM INTEGRASI
Februari,2019,7D,CAWANG UKI - TMII,52519,ANGKUTAN UMUM INTEGRASI
Maret,2019,7D,CAWANG UKI - TMII,61367,ANGKUTAN UMUM INTEGRASI
April,2019,7D,CAWANG UKI - TMII,63315,ANGKUTAN UMUM INTEGRASI
Mei ,2019,7D,CAWANG UKI - TMII,58.821,ANGKUTAN UMUM INTEGRASI
Juli,2019,7D,CAWANG UKI - TMII,79.17,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7D,CAWANG UKI - TMII,74.665,ANGKUTAN UMUM INTEGRASI
September,2019,7D,PANCORAN - TMII,77.985,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7D,PANCORAN - TMII,77.985,ANGKUTAN UMUM INTEGRASI
November,2019,7D,PANCORAN - TMII,86.822,ANGKUTAN UMUM INTEGRASI
Desember,2019,7D,PANCORAN - TMII,"87,217",ANGKUTAN UMUM INTEGRASI
Januari,2019,7E,RAGUNAN - RAMBUTAN,8435,ANGKUTAN UMUM INTEGRASI
Februari,2019,7E,RAGUNAN - RAMBUTAN,8.7,ANGKUTAN UMUM INTEGRASI
Maret,2019,7E,RAGUNAN - RAMBUTAN,10.73,ANGKUTAN UMUM INTEGRASI
April,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,10631,ANGKUTAN UMUM INTEGRASI
Mei ,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,11.546,ANGKUTAN UMUM INTEGRASI
Juli,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,15.908,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,14.97,ANGKUTAN UMUM INTEGRASI
September,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,16.239,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,16.239,ANGKUTAN UMUM INTEGRASI
November,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,18.211,ANGKUTAN UMUM INTEGRASI
Desember,2019,7E,KAMPUNG RAMBUTAN - RAGUNAN,"15,48",ANGKUTAN UMUM INTEGRASI
Februari,2019,7N,KAMPUNG RAMBUTAN - GANDARIA,1512,ANGKUTAN UMUM INTEGRASI
Maret,2019,7N,KAMPUNG RAMBUTAN - GANDARIA,6.03,ANGKUTAN UMUM INTEGRASI
April,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,6408,ANGKUTAN UMUM INTEGRASI
Mei ,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,8.678,ANGKUTAN UMUM INTEGRASI
Juli,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,9.725,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,6.365,ANGKUTAN UMUM INTEGRASI
September,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,7.814,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,7.814,ANGKUTAN UMUM INTEGRASI
November,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,8.588,ANGKUTAN UMUM INTEGRASI
Desember,2019,7N,GANDARIA - KAMPUNG RAMBUTAN,"6,532",ANGKUTAN UMUM INTEGRASI
Juli,2019,7P,PONDOK KELAPA - BKN,9.333,ANGKUTAN UMUM INTEGRASI
Agustus,2019,7P,PONDOK KELAPA - BKN,19.473,ANGKUTAN UMUM INTEGRASI
September,2019,7P,PONDOK KELAPA - BKN,26.438,ANGKUTAN UMUM INTEGRASI
Oktober,2019,7P,PONDOK KELAPA - BKN,26.438,ANGKUTAN UMUM INTEGRASI
November,2019,7P,PONDOK KELAPA - BKN,33.976,ANGKUTAN UMUM INTEGRASI
Desember,2019,7P,PONDOK KELAPA - BKN,"36,124",ANGKUTAN UMUM INTEGRASI
