Location_ISO_Code,ISO_Fatality_Rate,ISO_Recovery_Rate
ID-BT,0.0088206664170722583,0.98351778360164732
ID-JK,0.01096869747690931,0.98129877080923256
ID-PA,0.011596931520019229,0.9836561379614237
ID-PB,0.011936586882188373,0.98380478706869756
ID-JB,0.013578068569374073,0.97492355573806944
ID-MA,0.015691716481639625,0.98169299743808713
ID-NT,0.016173277551236563,0.98274638563787531
ID-SN,0.01719794593547137,0.9817431865683004
ID-KB,0.017224296928587759,0.98115997256306686
ID-BE,0.017893257464093513,0.98094128132177016
ID-KU,0.01893564083933329,0.98046986811105974
ID-SU,0.020696687774602495,0.97512368914682812
ID-SG,0.022146109835363716,0.97653057252948272
ID-SB,0.022658639143730886,0.97539181957186549
ID-MU,0.022884549503254539,0.97615621788283657
ID-SA,0.02296759522455941,0.96632556376729206
ID-JA,0.023005460238594313,0.97500194084310221
ID-BB,0.024431543299467829,0.97446480406386071
IDN,0.024648698744302148,0.970907928189096
ID-NB,0.024884818053907909,0.97470135459486307
ID-SR,0.025254791359528236,0.97436061790910844
ID-YO,0.026428065107196832,0.97058941539943022
ID-KR,0.026635441502193755,0.97153055034352387
ID-KT,0.026847827954034044,0.96937320713880826
ID-KI,0.027394900893228779,0.97130376954984521
ID-BA,0.028358038973572058,0.968800762448226
ID-ST,0.02836380300823254,0.97016317779341721
ID-RI,0.029165138095487656,0.96936743357266386
ID-KS,0.029528099135762952,0.9687228496959166
ID-GO,0.034907891907390153,0.96287004515805319
ID-SS,0.041071558918708485,0.95512056254410083
ID-AC,0.050479131659021757,0.947181979199782
ID-JT,0.052607678395497237,0.94515633814103828
ID-JI,0.05275179790336041,0.94535969704123124
ID-LA,0.05545472610452408,0.941551301583096
